"system:index","RTENAME","RTENO","area","year",".geo"
0,"BLY",69060,1.1348251201746322,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"ALMO",33226,0.22788710047487745,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"EWAN",89039,10.004783701026344,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,"GLEN",53137,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"JOEL",33204,11.80647527469362,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,"LIMA",53097,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,"LYNN",85024,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,"MESA",89082,3.697936420572916,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,"ROME",69164,0.1024173455882353,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,"RUCH",69226,2.639663511243872,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,"SCIO",69034,13.67705356352634,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,"SULA",53036,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,"TROY",69207,2.849098319163603,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,"ADAIR",69033,8.986971339445457,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,"ALBEE",69006,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,"ARLEE",53015,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,"AVERY",33003,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,"BAKER",33010,2.0598278555759806,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,"BATES",33222,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,"CAMAS",89024,15.339693862469396,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,"CANBY",69202,14.798954094087003,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,"CAREY",33220,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,"CECIL",69205,0.04583134522058824,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,"CRANE",69223,2.6599849766544117,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,"DERBY",69027,12.894477365471811,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,"FLORA",69007,1.133596916360294,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,"GREEN",69218,8.100898090762866,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,"INDEX",89073,2.443945975842524,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,"MOOSE",92036,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,"NOXON",53101,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,"RIRIE",33022,8.51409345137867,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,"SALEM",69237,13.080761085049012,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,"SELMA",69250,2.6659626102634797,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,"TWISP",89005,8.880608575505518,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,"UNITY",69214,0.9985129774969362,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,"ADRIAN",69056,0.5933897408394608,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,"ALPINE",92051,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,"ASOTIN",89023,3.679985461412376,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,"COBALT",33209,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,"COOLIN",33029,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,"COUGAR",89018,11.593261351164212,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,"CURLEW",89051,7.336421732184436,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,"CUSICK",89032,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,"DAYTON",69040,10.399728767356006,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,"DORRIS",14166,0.54670533679534306,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,"DUBOIS",33015,1.1049105960018386,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,"ELKTON",69050,10.485398655085785,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,"GOLDEN",33008,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,"ILWACO",89040,11.852366592064945,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,"IMNAHA",69008,5.20908103728554,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,"JOSEPH",69035,10.377660588832718,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,"KELLER",89007,11.866726662622554,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,"LORANE",69243,4.439067584589462,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,"MADRAS",69211,3.869454813434437,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,"MALDEN",89058,17.837442277405025,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,"MAZAMA",89068,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,"MERCER",89021,0.1826112882199755,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,"NAPLES",33001,1.8761844559436271,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,"OCHOCO",69212,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,"ODESSA",89076,0.00165941191789215,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,"OZETTE",89001,8.836180750704655,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,"PE ELL",89078,9.332964750873163,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,"PICABO",33219,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,"PIERCE",33205,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,"POLSON",53014,6.11658426237745,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,"QUINCY",89037,6.8435738650735285,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,"RONALD",89035,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,"SALADO",69009,9.760286686488971,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,"SPARTA",69038,6.995728901776958,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,"TIMBER",69001,3.0620437092677695,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,"UMPQUA",69018,9.0871150606158,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,"VERLOT",89904,3.86574242467831,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,"VICTOR",53901,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,"WAPATO",89020,4.41591348717831,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,"WILBUR",89038,1.1540051809742646,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,"WILSON",92052,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,"YAKIMA",89081,7.918873237224262,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,"ACEQUIA",33026,0.8091722443014708,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,"AUGUSTA",53016,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,"BLITZEN",69030,0.05621058284313725,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,"BOULDER",53028,0.02701678166360293,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,"BRADMAN",53904,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,"CARLTON",89049,0.11154476951593138,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,"CHALLIS",33013,0.36110098491115195,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,"CLINTON",53026,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,"CONNELL",89022,0.330349461596201,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,"CRATERS",33020,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,"CROWLEY",69024,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,"EVERETT",89034,15.631768026991434,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,"GIFFORD",33004,7.480138070373773,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,"GLACIER",89028,0.7707960681372549,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,"GLASGOW",69117,10.11964109460785,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,"GRANITE",69049,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,"KENDALL",89027,14.768122457276364,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,"LAURIER",89070,12.202422601991424,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,"LEADORE",33014,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,"LOGDELL",69013,0.03527522596507353,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,"MACDOEL",14168,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,"MAMMOTH",92030,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,"MCCHORD",89910,11.285737095481002,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,"MENDOTA",89042,10.767788149708949,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,"MERRILL",69228,3.684691973406863,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,"MIKKALO",69204,0.7828024515778188,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,"MIVODEN",33002,2.162846902604167,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,"MOLALLA",69901,5.350977050873165,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,"MT HOOD",69043,1.0655735491268383,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,"PAISLEY",69029,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,"PAUNINA",69245,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,"POMEROY",89065,7.238241002634803,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,"PRESTON",33228,4.554329678048409,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,"RAINIER",89079,12.688537965563722,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,"RAYMOND",89059,15.748545917815571,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,"REARDAN",89016,14.934017961672785,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,"RIMROCK",89019,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,"SANTIAM",69903,4.939932024004288,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,"SILVIES",69248,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,"SISTERS",69238,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,"SNOWDEN",89025,7.35551516556372,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,"ST MARY",53003,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,"SULPHUR",89164,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,"SUNBEAM",33213,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,"TAHOLAH",89009,5.201368707751228,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,"WICKIUP",69014,0.5552175692401962,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,"WOODMAN",53025,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,"ZUMWALT",69905,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,"BAY VIEW",89066,16.849132964185053,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,"BREWSTER",89006,5.944060001945465,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,"BUCHANAN",69023,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,"BURGDORF",33208,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,"CABARTON",33111,0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
