"system:index","RTENAME","RTENO","date","meanHSI"
"0_000000000000000011a9","BLY",69060,"1985-05-01",0.2497505676709655
"0_00000000000000000c3c","ALMO",33226,"1985-05-01",0.21523127865105587
"0_00000000000000000228","EWAN",89039,"1985-05-01",0.4598945134879686
"0_00000000000000000f37","GLEN",53137,"1985-05-01",0.2858859546066738
"0_00000000000000000c2a","JOEL",33204,"1985-05-01",0.4592442502490109
"0_00000000000000000f35","LIMA",53097,"1985-05-01",0.24120949739879
"0_0000000000000000014d","LYNN",85024,"1985-05-01",0.18744410206173517
"0_00000000000000000250","MESA",89082,"1985-05-01",0.28898991507491123
"0_000000000000000011b6","ROME",69164,"1985-05-01",0.2595538340525782
"0_000000000000000011cf","RUCH",69226,"1985-05-01",0.30211246299171335
"0_00000000000000001195","SCIO",69034,"1985-05-01",0.5022666791234958
"0_00000000000000000f23","SULA",53036,"1985-05-01",0.2241663750153544
"0_000000000000000011bd","TROY",69207,"1985-05-01",0.3152177944147749
"0_00000000000000001194","ADAIR",69033,"1985-05-01",0.4177126988834434
"0_0000000000000000117d","ALBEE",69006,"1985-05-01",0.227601793251023
"0_00000000000000000f0e","ARLEE",53015,"1985-05-01",0.23388974762962575
"0_00000000000000000c0e","AVERY",33003,"1985-05-01",0.28247219124051176
"0_00000000000000000c14","BAKER",33010,"1985-05-01",0.3384983827007323
"0_00000000000000000c38","BATES",33222,"1985-05-01",0.2388718879728139
"0_0000000000000000021a","CAMAS",89024,"1985-05-01",0.544069659564432
"0_000000000000000011b8","CANBY",69202,"1985-05-01",0.523924161424912
"0_00000000000000000c36","CAREY",33220,"1985-05-01",0.17456171283958524
"0_000000000000000011bb","CECIL",69205,"1985-05-01",0.1665282097546699
"0_000000000000000011cc","CRANE",69223,"1985-05-01",0.37829200058866136
"0_0000000000000000118f","DERBY",69027,"1985-05-01",0.48136871175287865
"0_0000000000000000117e","FLORA",69007,"1985-05-01",0.3626758080064336
"0_000000000000000011c7","GREEN",69218,"1985-05-01",0.3943221992051415
"0_00000000000000000247","INDEX",89073,"1985-05-01",0.3333257957328412
"0_00000000000000000314","MOOSE",92036,"1985-05-01",0.1995740604739437
