system:index,RTENAME,RTENO,area,.geo
0,BLY,69060.0,15.616229710830257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ALMO,33226.0,16.06013815107229,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,EWAN,89039.0,15.744483306969963,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,GLEN,53137.0,18.684540198805166,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,JOEL,33204.0,15.395468936642144,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,LIMA,53097.0,16.04276290609682,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,LYNN,85024.0,15.233827160186861,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,MESA,89082.0,15.769240720113327,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,ROME,69164.0,25.286745223789804,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,RUCH,69226.0,20.586760683869475,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,SCIO,69034.0,15.724120161596195,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,SULA,53036.0,17.58930332849264,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,TROY,69207.0,27.980741652267156,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,ADAIR,69033.0,17.507096766528793,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,ALBEE,69006.0,15.584574804932606,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,ARLEE,53015.0,15.14770057236519,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,AVERY,33003.0,16.040155737484678,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,BAKER,33010.0,15.083647480392163,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,BATES,33222.0,16.466693038327204,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,CAMAS,89024.0,16.305377840885438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,CANBY,69202.0,15.510051793933815,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,CAREY,33220.0,16.441838941574762,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,CECIL,69205.0,20.849726006556303,"{""type"":""MultiPoint"",""coordinates"":[]}"
