"","statenum","Route","RouteName","rt.uni","State","system.index","RTENAME","RTENO","Trend","meanslope","RTENO_2"
"1",3,117,"HATCHER PASS","3-117","ALASKA",NA,NA,NA,NA,NA,NA
"2",3,223,"THORNE BAY 2","3-223","ALASKA",NA,NA,NA,NA,NA,NA
"3",3,50,"CORDOVA","3-50","ALASKA",NA,NA,NA,NA,NA,NA
"4",3,52,"KENNY LAKE","3-52","ALASKA",NA,NA,NA,NA,NA,NA
"5",3,850,"COPPER RIVER","3-850","ALASKA",NA,NA,NA,NA,NA,NA
"6",11,114,"Ash River","11-114","British Columbia",NA,NA,NA,NA,NA,NA
"7",11,185,"SUKUNKA FALLS","11-185","British Columbia",NA,NA,NA,NA,NA,NA
"8",11,26,"CAMPBELL RIVER","11-26","British Columbia",NA,NA,NA,NA,NA,NA
"9",11,310,"Silver Skagit Rd","11-310","British Columbia",NA,NA,NA,NA,NA,NA
"10",11,33,"BRIDGE LAKE","11-33","British Columbia",NA,NA,NA,NA,NA,NA
"11",4,10,"HIGHWOOD RIVER","4-10","Alberta",NA,NA,NA,NA,NA,NA
"12",4,115,"DIDSBURY","4-115","Alberta",NA,NA,NA,NA,NA,NA
"13",4,123,"CRIPPLE CRK","4-123","Alberta",NA,NA,NA,NA,NA,NA
"14",4,125,"SUNWAPTA FLS","4-125","Alberta",NA,NA,NA,NA,NA,NA
"15",4,15,"EAGLE HILL","4-15","Alberta",NA,NA,NA,NA,NA,NA
"16",4,16,"EXSHAW","4-16","Alberta",NA,NA,NA,NA,NA,NA
"17",4,215,"GHOST LAKE","4-215","Alberta",NA,NA,NA,NA,NA,NA
"18",4,24,"WINDY POINT","4-24","Alberta",NA,NA,NA,NA,NA,NA
"19",4,34,"HOFF","4-34","Alberta",NA,NA,NA,NA,NA,NA
"20",14,1,"HORSE CREEK","14-1","CALIFORNIA",NA,NA,NA,NA,NA,NA
"21",14,117,"SILVER CITY","14-117","CALIFORNIA",NA,NA,NA,NA,NA,NA
"22",14,158,"SATTLEY","14-158","CALIFORNIA",NA,NA,NA,NA,NA,NA
"23",14,167,"ORLEANS","14-167","CALIFORNIA",NA,NA,NA,NA,NA,NA
"24",14,169,"MCCLOUD","14-169","CALIFORNIA",NA,NA,NA,NA,NA,NA
"25",14,175,"MT SHASTA","14-175","CALIFORNIA",NA,NA,NA,NA,NA,NA
"26",14,181,"GENESEE","14-181","CALIFORNIA",NA,NA,NA,NA,NA,NA
"27",14,193,"BODEGA BAY","14-193","CALIFORNIA",NA,NA,NA,NA,NA,NA
"28",14,198,"YREKA","14-198","CALIFORNIA",NA,NA,NA,NA,NA,NA
"29",14,199,"BARTLE","14-199","CALIFORNIA",NA,NA,NA,NA,NA,NA
"30",14,201,"HAT CREEK","14-201","CALIFORNIA",NA,NA,NA,NA,NA,NA
"31",14,3,"NUBIEBER","14-3","CALIFORNIA",NA,NA,NA,NA,NA,NA
"32",14,423,"PINE MOUNTAIN","14-423","CALIFORNIA",NA,NA,NA,NA,NA,NA
"33",14,429,"CECILVILLE","14-429","CALIFORNIA",NA,NA,NA,NA,NA,NA
"34",14,431,"HAY FORK","14-431","CALIFORNIA",NA,NA,NA,NA,NA,NA
"35",14,6,"HOLMES","14-6","CALIFORNIA",NA,NA,NA,NA,NA,NA
"36",14,75,"RIO DELL","14-75","CALIFORNIA",NA,NA,NA,NA,NA,NA
"37",14,77,"SHASTA LAKE","14-77","CALIFORNIA",NA,NA,NA,NA,NA,NA
"38",14,81,"NAVARRO","14-81","CALIFORNIA",NA,NA,NA,NA,NA,NA
"39",14,82,"WOODFORDS","14-82","CALIFORNIA",NA,NA,NA,NA,NA,NA
"40",14,83,"FAIRFAX","14-83","CALIFORNIA",NA,NA,NA,NA,NA,NA
"41",53,176,"SKALKHO-RYE","53-176","MONTANA",NA,NA,NA,NA,NA,NA
"42",53,301,"WHITEFISH LAKE","53-301","MONTANA",NA,NA,NA,NA,NA,NA
"43",53,325,"PAGIL GULCH","53-325","MONTANA",NA,NA,NA,NA,NA,NA
"44",69,120,"DAVIS LAKE","69-120","OREGON",NA,NA,NA,NA,NA,NA
"45",69,159,"EMIGRANT LAKE 2","69-159","OREGON",NA,NA,NA,NA,NA,NA
"46",69,220,"BALD MTN.","69-220","OREGON",NA,NA,NA,NA,NA,NA
"47",69,244,"CINDERELLA","69-244","OREGON",NA,NA,NA,NA,NA,NA
"48",69,309,"Harlan","69-309","OREGON",NA,NA,NA,NA,NA,NA
"49",69,336,"FISHER","69-336","OREGON",NA,NA,NA,NA,NA,NA
"50",69,409,"Harlan 2","69-409","OREGON",NA,NA,NA,NA,NA,NA
"51",69,42,"SVENSEN","69-42","OREGON",NA,NA,NA,NA,NA,NA
"52",69,436,"Fisher 2","69-436","OREGON",NA,NA,NA,NA,NA,NA
"53",69,47,"CAMP SHERMAN","69-47","OREGON",NA,NA,NA,NA,NA,NA
"54",89,103,"WARM BEACH 2","89-103","WASHINGTON",NA,NA,NA,NA,NA,NA
"55",89,11,"ISSAQUAH","89-11","WASHINGTON",NA,NA,NA,NA,NA,NA
"56",89,13,"ARDENVOIR","89-13","WASHINGTON",NA,NA,NA,NA,NA,NA
"57",89,142,"MENDOTA 2","89-142","WASHINGTON",NA,NA,NA,NA,NA,NA
"58",89,152,"SULLIVAN LAKE 2","89-152","WASHINGTON",NA,NA,NA,NA,NA,NA
"59",89,173,"INDEX 2","89-173","WASHINGTON",NA,NA,NA,NA,NA,NA
"60",89,242,"MENDOTA 3","89-242","WASHINGTON",NA,NA,NA,NA,NA,NA
"61",89,85,"CONCRETE","89-85","WASHINGTON",NA,NA,NA,NA,NA,NA
"62",89,86,"Greenwater","89-86","WASHINGTON",NA,NA,NA,NA,NA,NA
"63",92,1,"NE ENTRANCE","92-1","WYOMING",NA,NA,NA,NA,NA,NA
"64",92,208,"MORAN","92-208","WYOMING",NA,NA,NA,NA,NA,NA
"65",92,26,"RIVERSIDE","92-26","WYOMING",NA,NA,NA,NA,NA,NA
"66",92,32,"HUNTER PEAK","92-32","WYOMING",NA,NA,NA,NA,NA,NA
"67",92,77,"FIDDLER LK","92-77","WYOMING",NA,NA,NA,NA,NA,NA
